dataset,algorithm,clients,capacity,routes_used,total_length,valid,time_ms
R102,cw2opt,100,200,8,869.675,YES,0.263083
R102,hybrid,100,200,8,859.087,YES,0.938166
R102,nn,100,200,8,1174.36,YES,0.02075
R102,sa,100,200,8,869.675,YES,0.835208
R102,ts,100,200,8,860.682,YES,4.86813
R103,cw,100,200,8,877.935,YES,0.251875
R103,cw2opt,100,200,8,869.675,YES,0.256417
R103,hybrid,100,200,8,859.087,YES,1.00054
R103,nn,100,200,8,1174.36,YES,0.024709
R103,sa,100,200,8,869.675,YES,0.882834
R103,ts,100,200,8,860.682,YES,4.58287
R104,cw,100,200,8,877.935,YES,0.24625
R104,cw2opt,100,200,8,869.675,YES,0.251
R104,hybrid,100,200,8,859.087,YES,0.940625
R104,nn,100,200,8,1174.36,YES,0.02225
R104,sa,100,200,8,869.675,YES,0.919583
R104,ts,100,200,8,860.682,YES,4.66975
R105,cw,100,200,8,877.935,YES,0.249041
R105,cw2opt,100,200,8,869.675,YES,0.244959
R105,hybrid,100,200,8,859.087,YES,0.94975
R105,nn,100,200,8,1174.36,YES,0.020292
R105,sa,100,200,8,869.675,YES,0.842125
R105,ts,100,200,8,860.682,YES,4.74067
R106,cw,100,200,8,877.935,YES,0.240667
R106,cw2opt,100,200,8,869.675,YES,0.243125
R106,hybrid,100,200,8,859.087,YES,0.962834
R106,nn,100,200,8,1174.36,YES,0.021125
R106,sa,100,200,8,869.675,YES,0.935708
R106,ts,100,200,8,860.682,YES,4.88054
R107,cw,100,200,8,877.935,YES,0.246708
R107,cw2opt,100,200,8,869.675,YES,0.303
R107,hybrid,100,200,8,859.087,YES,0.935417
R107,nn,100,200,8,1174.36,YES,0.023125
R107,sa,100,200,8,869.675,YES,0.884
R107,ts,100,200,8,860.682,YES,4.66008
R108,cw,100,200,8,877.935,YES,0.290916
R108,cw2opt,100,200,8,869.675,YES,0.2565
R108,hybrid,100,200,8,859.087,YES,0.944417
R108,nn,100,200,8,1174.36,YES,0.0225
R108,sa,100,200,8,869.675,YES,0.886833
R108,ts,100,200,8,860.682,YES,4.88575
R109,cw,100,200,8,877.935,YES,0.256083
R109,cw2opt,100,200,8,869.675,YES,0.255583
R109,hybrid,100,200,8,859.087,YES,0.940333
R109,nn,100,200,8,1174.36,YES,0.021917
R109,sa,100,200,8,869.675,YES,0.852917
R109,ts,100,200,8,860.682,YES,4.8485
R110,cw,100,200,8,877.935,YES,0.249541
R110,cw2opt,100,200,8,869.675,YES,0.254583
R110,hybrid,100,200,8,859.087,YES,0.937916
R110,nn,100,200,8,1174.36,YES,0.025209
R110,sa,100,200,8,869.675,YES,0.892458
R110,ts,100,200,8,860.682,YES,4.57379
R111,cw,100,200,8,877.935,YES,0.260625
R111,cw2opt,100,200,8,869.675,YES,0.244917
R111,hybrid,100,200,8,859.087,YES,1.00388
R111,nn,100,200,8,1174.36,YES,0.021125
R111,sa,100,200,8,869.675,YES,0.897625
R111,ts,100,200,8,860.682,YES,4.725
R112,cw,100,200,8,877.935,YES,0.245375
R112,cw2opt,100,200,8,869.675,YES,0.278875
R112,hybrid,100,200,8,859.087,YES,0.979875
R112,nn,100,200,8,1174.36,YES,0.020792
R112,sa,100,200,8,869.675,YES,0.876125
R112,ts,100,200,8,860.682,YES,4.70433
R201,cw,100,1000,2,702.303,YES,0.252083
R201,cw2opt,100,1000,2,680.864,YES,0.254333
R201,hybrid,100,1000,2,677.955,YES,2.50996
R201,nn,100,1000,2,802.728,YES,0.01675
R201,sa,100,1000,2,680.864,YES,2.31212
R201,ts,100,1000,2,680.864,YES,4.192
R202,cw,100,1000,2,702.303,YES,0.266167
R202,cw2opt,100,1000,2,680.864,YES,0.2695
R202,hybrid,100,1000,2,677.955,YES,2.41208
R202,nn,100,1000,2,802.728,YES,0.016708
R202,sa,100,1000,2,680.864,YES,2.41504
R202,ts,100,1000,2,680.864,YES,4.13229
R203,cw,100,1000,2,702.303,YES,0.265042
R203,cw2opt,100,1000,2,680.864,YES,0.274875
R203,hybrid,100,1000,2,677.955,YES,2.43938
R203,nn,100,1000,2,802.728,YES,0.015875
R203,sa,100,1000,2,680.864,YES,2.39883
R203,ts,100,1000,2,680.864,YES,4.39504
R204,cw,100,1000,2,702.303,YES,0.263417
R204,cw2opt,100,1000,2,680.864,YES,0.256583
R204,hybrid,100,1000,2,677.955,YES,2.47525
R204,nn,100,1000,2,802.728,YES,0.016083
R204,sa,100,1000,2,680.864,YES,2.36283
R204,ts,100,1000,2,680.864,YES,4.18379
R205,cw,100,1000,2,702.303,YES,0.269083
R205,cw2opt,100,1000,2,680.864,YES,0.260834
R205,hybrid,100,1000,2,677.955,YES,2.40867
R205,nn,100,1000,2,802.728,YES,0.015875
R205,sa,100,1000,2,680.864,YES,2.42217
R205,ts,100,1000,2,680.864,YES,4.33925
R206,cw,100,1000,2,702.303,YES,0.258209
R206,cw2opt,100,1000,2,680.864,YES,0.262292
R206,hybrid,100,1000,2,677.955,YES,2.39908
R206,nn,100,1000,2,802.728,YES,0.017625
R206,sa,100,1000,2,680.864,YES,2.34483
R206,ts,100,1000,2,680.864,YES,4.22425
R207,cw,100,1000,2,702.303,YES,0.257875
R207,cw2opt,100,1000,2,680.864,YES,0.264208
R207,hybrid,100,1000,2,677.955,YES,2.49412
R207,nn,100,1000,2,802.728,YES,0.017
R207,sa,100,1000,2,680.864,YES,2.31338
R207,ts,100,1000,2,680.864,YES,4.10067
R208,cw,100,1000,2,702.303,YES,0.251625
R208,cw2opt,100,1000,2,680.864,YES,0.269208
R208,hybrid,100,1000,2,677.955,YES,2.42583
R208,nn,100,1000,2,802.728,YES,0.015875
R208,sa,100,1000,2,680.864,YES,2.42971
R208,ts,100,1000,2,680.864,YES,4.25713
R209,cw,100,1000,2,702.303,YES,0.251833
R209,cw2opt,100,1000,2,680.864,YES,0.279458
R209,hybrid,100,1000,2,677.955,YES,2.47825
R209,nn,100,1000,2,802.728,YES,0.017083
R209,sa,100,1000,2,680.864,YES,2.28821
R209,ts,100,1000,2,680.864,YES,4.24067
R210,cw,100,1000,2,702.303,YES,0.266542
R210,cw2opt,100,1000,2,680.864,YES,0.269083
R210,hybrid,100,1000,2,677.955,YES,2.43883
R210,nn,100,1000,2,802.728,YES,0.015708
R210,sa,100,1000,2,680.864,YES,2.44075
R210,ts,100,1000,2,680.864,YES,4.26979
R211,cw,100,1000,2,702.303,YES,0.257167
R211,cw2opt,100,1000,2,680.864,YES,0.253708
R211,hybrid,100,1000,2,677.955,YES,2.50929
R211,nn,100,1000,2,802.728,YES,0.016625
R211,sa,100,1000,2,680.864,YES,2.43513
R211,ts,100,1000,2,680.864,YES,4.33871
RC101,cw,100,200,9,1025.71,YES,0.262333
RC101,cw2opt,100,200,9,1020.96,YES,0.258583
RC101,hybrid,100,200,9,1018.5,YES,0.906167
RC101,nn,100,200,9,1422.6,YES,0.022792
RC101,sa,100,200,9,1020.96,YES,0.888833
RC101,ts,100,200,9,1016.78,YES,4.67079
RC102,cw,100,200,9,1025.71,YES,0.255458
RC102,cw2opt,100,200,9,1020.96,YES,0.264959
RC102,hybrid,100,200,9,1018.5,YES,0.921541
RC102,nn,100,200,9,1422.6,YES,0.024584
RC102,sa,100,200,9,1020.96,YES,0.874
RC102,ts,100,200,9,1016.78,YES,4.51546
RC103,cw,100,200,9,1025.71,YES,0.262167
RC103,cw2opt,100,200,9,1020.96,YES,0.255417
RC103,hybrid,100,200,9,1018.5,YES,0.942791
RC103,nn,100,200,9,1422.6,YES,0.023042
RC103,sa,100,200,9,1020.96,YES,0.878125
RC103,ts,100,200,9,1016.78,YES,4.65937
RC104,cw,100,200,9,1025.71,YES,0.250334
RC104,cw2opt,100,200,9,1020.96,YES,0.2485
RC104,hybrid,100,200,9,1018.5,YES,0.905209
RC104,nn,100,200,9,1422.6,YES,0.023167
RC104,sa,100,200,9,1020.96,YES,0.895042
RC104,ts,100,200,9,1016.78,YES,4.61437
RC105,cw,100,200,9,1025.71,YES,0.245459
RC105,cw2opt,100,200,9,1020.96,YES,0.267709
RC105,hybrid,100,200,9,1018.5,YES,0.94725
RC105,nn,100,200,9,1422.6,YES,0.024042
RC105,sa,100,200,9,1020.96,YES,0.90625
RC105,ts,100,200,9,1016.78,YES,4.57575
RC106,cw,100,200,9,1025.71,YES,0.249833
RC106,cw2opt,100,200,9,1020.96,YES,0.263833
RC106,hybrid,100,200,9,1018.5,YES,0.894792
RC106,nn,100,200,9,1422.6,YES,0.022834
RC106,sa,100,200,9,1020.96,YES,0.843916
RC106,ts,100,200,9,1016.78,YES,4.58638
RC107,cw,100,200,9,1025.71,YES,0.273209
RC107,cw2opt,100,200,9,1020.96,YES,0.250125
RC107,hybrid,100,200,9,1018.5,YES,0.96675
RC107,nn,100,200,9,1422.6,YES,0.022375
RC107,sa,100,200,9,1020.96,YES,0.837625
RC107,ts,100,200,9,1016.78,YES,4.70246
RC108,cw,100,200,9,1025.71,YES,0.253209
RC108,cw2opt,100,200,9,1020.96,YES,0.245291
RC108,hybrid,100,200,9,1018.5,YES,0.927917
RC108,nn,100,200,9,1422.6,YES,0.024041
RC108,sa,100,200,9,1020.96,YES,0.888958
RC108,ts,100,200,9,1016.78,YES,4.86846
RC201,cw,100,1000,2,692.072,YES,0.277334
RC201,cw2opt,100,1000,2,678.492,YES,0.278583
RC201,hybrid,100,1000,2,672.276,YES,2.32642
RC201,nn,100,1000,2,905.042,YES,0.01825
RC201,sa,100,1000,2,678.492,YES,2.15396
